,log10phi,f_r,log10x_50,A0,PE,fpvls_avg,fpvls_std,IC50s_avg,IC50s_std,dose
72,1.2306020962749444,0.43937910481735964,2.443499580149224,9.0,0.5113636363636364,5.3581113388163,1.585110904313327,1.6044503776080192,0.321043030425903,30.0
73,2.125761474830361,0.4135860789328751,2.9657141470540944,11.0,0.38636363636363635,5.218112392092327,1.6902187923583871,1.4336399204311532,0.6548816254274419,30.0
74,2.2115407897317656,0.041811542003256076,2.798541377091969,4.0,0.8295454545454546,4.957667168436002,1.5403585066183874,-0.26374081667402954,0.8616763816572414,30.0
75,2.25422031533047,0.5666618589275476,2.414663947476052,5.0,0.3977272727272727,5.270125783848072,1.597844574422196,1.5129925397600346,0.6290118290208301,30.0
76,2.20659166878907,0.48319223906256364,2.961264308396149,11.0,0.38636363636363635,5.27336424955558,1.469738517658032,1.3731900029785251,0.8063484583675468,30.0
77,1.747570893967329,0.2122066824784817,2.5175443418529797,8.0,0.7159090909090908,5.715992299820465,1.820299983256311,1.4850224295099934,0.542101961448711,30.0
78,2.350993487119705,0.1472961243185084,2.579639676243156,16.0,0.7045454545454546,5.150277714356552,1.7024380139316224,0.250947446488311,1.220053605075185,30.0
79,1.602243132495133,0.5537356235228779,2.9009251699061713,3.0,0.3522727272727273,5.1550620161427085,1.5478924809714538,1.6079207333868941,0.325743978546114,30.0
80,1.9990975650209373,0.2568590234895012,2.7963110666873727,7.0,0.7159090909090908,5.396939832553326,1.4337408353724692,1.1770994232728933,0.8615412403815365,30.0
81,1.1179378860994342,0.44093702549515357,3.0934314068429525,6.0,0.46590909090909094,5.1333803127839595,1.4469262814237032,1.6318558643519783,0.2548181712630484,30.0
82,2.4809185560158165,0.20001328602526566,2.9445196867783663,2.0,0.6477272727272727,5.44283208219652,1.4422296710038127,0.6808341805586202,1.165314600766745,30.0
83,2.342261576988862,0.07260101996678808,2.344398361892765,2.0,0.8636363636363636,4.941744207903418,1.807103568234209,0.2882774664320487,1.0804581550935184,30.0
84,2.004352539055372,0.42894809937082384,3.4001019472168315,5.0,0.625,5.887879528461225,0.9559810013571679,1.5929326740762786,0.3663255666114628,30.0
85,2.5612094400265986,0.2142195867060598,3.2175551920708467,12.0,0.6477272727272727,5.472444496826855,1.6643368203109348,0.8509427818955141,1.1069228649122114,30.0
86,-1.3466927042244552,0.25419958824649413,3.401212079614815,13.0,0.7613636363636364,4.712053354206177,1.4521592696231356,1.6989700043360187,0.0,30.0
87,1.7963380222869192,0.7698967028730874,3.490773633902515,10.0,0.19318181818181823,5.718118903431157,1.478658758715099,1.60073383203523,0.3021384948392313,30.0
